Packing Chromatic Number: 14.0
Color Assignment:
Node 0: Color 4
Node 1: Color 11
Node 2: Color 5
Node 3: Color 1
Node 4: Color 2
Node 5: Color 1
Node 6: Color 7
Node 7: Color 3
Node 8: Color 2
Node 9: Color 14
Node 10: Color 10
Node 11: Color 1
Node 12: Color 4
Node 13: Color 8
Node 14: Color 2
Node 15: Color 3
Node 16: Color 5
Node 17: Color 1
Node 18: Color 12
Node 19: Color 2
Node 20: Color 6
Node 21: Color 9
Node 22: Color 4
Node 23: Color 1
Node 24: Color 2
Node 25: Color 1
Node 26: Color 3
Node 27: Color 13
Node 28: Color 7
Node 29: Color 2
Node 30: Color 1
Node 31: Color 11
Node 32: Color 8
Node 33: Color 4
Node 34: Color 2
Node 35: Color 1
Node 36: Color 3
Node 37: Color 10
Node 38: Color 2
Node 39: Color 6
Node 40: Color 5
Node 41: Color 1
Node 42: Color 4
Node 43: Color 2
Node 44: Color 14
Node 45: Color 7
Node 46: Color 9
Node 47: Color 2
Node 48: Color 1
Node 49: Color 3
Node 50: Color 12
Node 51: Color 1
Node 52: Color 2
Node 53: Color 8
Node 54: Color 4
Node 55: Color 5
Node 56: Color 6
Node 57: Color 2
Node 58: Color 3
Node 59: Color 1
Node 60: Color 1
Node 61: Color 13
Node 62: Color 4
Node 63: Color 2
Node 64: Color 10
Node 65: Color 11
Node 66: Color 3
Node 67: Color 1
Node 68: Color 7
Node 69: Color 2
Node 70: Color 1
Node 71: Color 8
Node 72: Color 4
Node 73: Color 2
Node 74: Color 5
Node 75: Color 6
Node 76: Color 9
Node 77: Color 14
Node 78: Color 1
Node 79: Color 2
Node 80: Color 1
Node 81: Color 3
Node 82: Color 2
Node 83: Color 12
Node 84: Color 4
Node 85: Color 1
Node 86: Color 7
Node 87: Color 10
Node 88: Color 5
Node 89: Color 2
Node 90: Color 1
Node 91: Color 3
Node 92: Color 4
Node 93: Color 2
Node 94: Color 6
Node 95: Color 11
Node 96: Color 13
Node 97: Color 1
Node 98: Color 8
Node 99: Color 2
Node 100: Color 5
Node 101: Color 1
Node 102: Color 2
Node 103: Color 3
Node 104: Color 4
Node 105: Color 9
Node 106: Color 7
Node 107: Color 6
Node 108: Color 1
Node 109: Color 2
Node 110: Color 1
Node 111: Color 4
Node 112: Color 14
Node 113: Color 3
Node 114: Color 2
Node 115: Color 10
Node 116: Color 5
Node 117: Color 8
Node 118: Color 2
Node 119: Color 1
Node 120: Color 3
Node 121: Color 1
Node 122: Color 6
Node 123: Color 12
Node 124: Color 2
Node 125: Color 11
Node 126: Color 7
Node 127: Color 4
Node 128: Color 1
Node 129: Color 2
Node 130: Color 1
Node 131: Color 13
Node 132: Color 5
Node 133: Color 3
Node 134: Color 2
Node 135: Color 1
Node 136: Color 8
Node 137: Color 4
Node 138: Color 6
Node 139: Color 2
Node 140: Color 3
Node 141: Color 10
Node 142: Color 1
Node 143: Color 9
Node 144: Color 2
Node 145: Color 1
Node 146: Color 7
Node 147: Color 2
Node 148: Color 5
Node 149: Color 4
Node 150: Color 14
Node 151: Color 1
Node 152: Color 2
Node 153: Color 12
Node 154: Color 3
Node 155: Color 6
Node 156: Color 11
Node 157: Color 4
Node 158: Color 2
Node 159: Color 1
Node 160: Color 8
Node 161: Color 5
Node 162: Color 3
Node 163: Color 1
Node 164: Color 2
Node 165: Color 1
Node 166: Color 7
Node 167: Color 9
Node 168: Color 4
Node 169: Color 2
Node 170: Color 1
Node 171: Color 3
Node 172: Color 13
Node 173: Color 2
Node 174: Color 6
Node 175: Color 1
Node 176: Color 5
Node 177: Color 4
Node 178: Color 10
Node 179: Color 2
Node 180: Color 1
Node 181: Color 12
Node 182: Color 3
Node 183: Color 2
Node 184: Color 8
Node 185: Color 1
Node 186: Color 7
Node 187: Color 6
Node 188: Color 4
Node 189: Color 2
Node 190: Color 3
Node 191: Color 1
Node 192: Color 2
Node 193: Color 14
Node 194: Color 5
Node 195: Color 9
Node 196: Color 1
Node 197: Color 11
Node 198: Color 2
Node 199: Color 4
Node 200: Color 3
Node 201: Color 1
Node 202: Color 8
Node 203: Color 6
Node 204: Color 2
Node 205: Color 13
Node 206: Color 1
Node 207: Color 2
Node 208: Color 4
Node 209: Color 5
Node 210: Color 7
Node 211: Color 3
Node 212: Color 2
Node 213: Color 10
Node 214: Color 1
Node 215: Color 12
Node 216: Color 1
Node 217: Color 2
Node 218: Color 6
Node 219: Color 4
Node 220: Color 9
Node 221: Color 5
Node 222: Color 1
Node 223: Color 2
Node 224: Color 8
Node 225: Color 3
Node 226: Color 1
Node 227: Color 2
Node 228: Color 14
Node 229: Color 4
Node 230: Color 11
Node 231: Color 7
Node 232: Color 2
Node 233: Color 6
Node 234: Color 1
Node 235: Color 1
Node 236: Color 3
Node 237: Color 4
Node 238: Color 10
Node 239: Color 2
Node 240: Color 13
Node 241: Color 5
Node 242: Color 1
Node 243: Color 2
Node 244: Color 8
Node 245: Color 1
Node 246: Color 9
Node 247: Color 3
Node 248: Color 2
Node 249: Color 4
Node 250: Color 1
Node 251: Color 7
Node 252: Color 6
Node 253: Color 2
Node 254: Color 12
Node 255: Color 1
Node 256: Color 3
Node 257: Color 5
Node 258: Color 4
Node 259: Color 2
Node 260: Color 1
Node 261: Color 8
Node 262: Color 14
Node 263: Color 2
Node 264: Color 10
Node 265: Color 1
Node 266: Color 4
Node 267: Color 6
Node 268: Color 2
Node 269: Color 3
Node 270: Color 1
Node 271: Color 5
Node 272: Color 2
Node 273: Color 7
Node 274: Color 9
Node 275: Color 3
Node 276: Color 13
Node 277: Color 1
Node 278: Color 2
Node 279: Color 11
Node 280: Color 4
Node 281: Color 1
Node 282: Color 6
Node 283: Color 12
Node 284: Color 2
Node 285: Color 3
Node 286: Color 1
Node 287: Color 5
Node 288: Color 2
Node 289: Color 8
Node 290: Color 7
Node 291: Color 1
Node 292: Color 10
Node 293: Color 2
Node 294: Color 4
Node 295: Color 9
Node 296: Color 1
Node 297: Color 2
Node 298: Color 3
Node 299: Color 14
Node 300: Color 5
Node 301: Color 1
Node 302: Color 2
Node 303: Color 4
Node 304: Color 6
Node 305: Color 3
Node 306: Color 1
Node 307: Color 11
Node 308: Color 8
Node 309: Color 2
Node 310: Color 7
Node 311: Color 12
Node 312: Color 1
Node 313: Color 2
Node 314: Color 4
Node 315: Color 5
Node 316: Color 3
Node 317: Color 10
Node 318: Color 1
Node 319: Color 2
Node 320: Color 6
Node 321: Color 1
Node 322: Color 13
Node 323: Color 2
Node 324: Color 4
Node 325: Color 9
Node 326: Color 8
Node 327: Color 1
Node 328: Color 3
Node 329: Color 2
Node 330: Color 1
Node 331: Color 5
Node 332: Color 2
Node 333: Color 14
Node 334: Color 4
Node 335: Color 1
Node 336: Color 11
Node 337: Color 6
Node 338: Color 3
Node 339: Color 2
Node 340: Color 1
Node 341: Color 7
Node 342: Color 4
Node 343: Color 2
Node 344: Color 10
Node 345: Color 1
Node 346: Color 5
Node 347: Color 2
Node 348: Color 12
Node 349: Color 3
Node 350: Color 9
Node 351: Color 1
Node 352: Color 4
Node 353: Color 2
Node 354: Color 8
Node 355: Color 6
Node 356: Color 3
Node 357: Color 2
Node 358: Color 1
Node 359: Color 13
Node 360: Color 1
Node 361: Color 5
Node 362: Color 2
Node 363: Color 7
Node 364: Color 4
Node 365: Color 1
Node 366: Color 3
Node 367: Color 2
Node 368: Color 11
Node 369: Color 10
Node 370: Color 1
Node 371: Color 4
Node 372: Color 8
Node 373: Color 2
Node 374: Color 6
Node 375: Color 1
Node 376: Color 3
Node 377: Color 12
Node 378: Color 5
Node 379: Color 2
Node 380: Color 14
Node 381: Color 9
Node 382: Color 1
Node 383: Color 2
Node 384: Color 7
Node 385: Color 1
Node 386: Color 3
Node 387: Color 6
Node 388: Color 4
Node 389: Color 2
Node 390: Color 5
Node 391: Color 13
Node 392: Color 8
Node 393: Color 2
Node 394: Color 1
Node 395: Color 11
Node 396: Color 4
Node 397: Color 3
Node 398: Color 1
Node 399: Color 2
Node 400: Color 1
Node 401: Color 7
Node 402: Color 10
Node 403: Color 6
Node 404: Color 2
Node 405: Color 1
Node 406: Color 12
Node 407: Color 5
Node 408: Color 3
Node 409: Color 2
Node 410: Color 4
Node 411: Color 9
Node 412: Color 2
Node 413: Color 8
Node 414: Color 1
Node 415: Color 1
Node 416: Color 14
Node 417: Color 2
Node 418: Color 3
Node 419: Color 6
Node 420: Color 1
Node 421: Color 5
Node 422: Color 4
Node 423: Color 7
Node 424: Color 2
Node 425: Color 1
Node 426: Color 3
Node 427: Color 2
Node 428: Color 10
Node 429: Color 13
Node 430: Color 1
Node 431: Color 4
Node 432: Color 2
Node 433: Color 6
Node 434: Color 8
Node 435: Color 1
Node 436: Color 3
Node 437: Color 9
Node 438: Color 5
Node 439: Color 2
Node 440: Color 1
Node 441: Color 12
Node 442: Color 11
Node 443: Color 7
Node 444: Color 2
Node 445: Color 1
Node 446: Color 3
Node 447: Color 2
Node 448: Color 6
Node 449: Color 4
Node 450: Color 5
Node 451: Color 1
Node 452: Color 2
Node 453: Color 10
Node 454: Color 8
Node 455: Color 14
Node 456: Color 3
Node 457: Color 2
Node 458: Color 4
Node 459: Color 1
Node 460: Color 1
Node 461: Color 13
Node 462: Color 7
Node 463: Color 2
Node 464: Color 9
Node 465: Color 6
Node 466: Color 5
Node 467: Color 1
Node 468: Color 3
Node 469: Color 2
Node 470: Color 4
Node 471: Color 11
Node 472: Color 8
Node 473: Color 2
Node 474: Color 1
Node 475: Color 12
Node 476: Color 3
Node 477: Color 10
Node 478: Color 1
Node 479: Color 2
Node 480: Color 7
Node 481: Color 1
Node 482: Color 2
Node 483: Color 5
Node 484: Color 4
Node 485: Color 6
Node 486: Color 3
Node 487: Color 9
Node 488: Color 1
Node 489: Color 2
Node 490: Color 1
Node 491: Color 4
Node 492: Color 14
Node 493: Color 8
Node 494: Color 2
Node 495: Color 5
Node 496: Color 2
Node 497: Color 3
Node 498: Color 13
Node 499: Color 1
